adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.493438582251409,4.466636095178172
False,0.01,1,4.493435249166898,4.467953422442012
True,0.01,2,3.597496155752571,3.570698985868818
False,0.01,2,3.5973762295763603,3.575561198552875
True,0.01,3,2.899525213125174,2.9014180491860806
False,0.01,3,2.898404859571298,2.92002712239162
True,0.01,4,2.3280776931432934,2.3987540887376135
False,0.01,4,2.3235428489582155,2.4479719084530354
True,0.01,5,1.946551887028488,2.1337574429996593
False,0.01,5,1.9351731275621804,2.225272432264582
True,0.01,6,1.724901158766096,2.1113987347307
False,0.01,6,1.7033737640810944,2.243840091454228
True,0.01,7,1.5665557023514929,2.297178924712299
False,0.01,7,1.5347719756146738,2.4721105836287194
True,0.01,8,1.4285501062574169,2.6523598861372286
False,0.01,8,1.389525645617435,2.8661878644758887
True,0.01,9,1.2989717884147756,3.12751881166595
False,0.01,9,1.2570091912558647,3.3698743438224708
