adapts,deltas,ns,train_losses,valid_losses
True,0.01,6,1.4305501649698253,1.5035247164678163
False,0.01,6,1.4283759890743637,1.5155337696232938
True,0.01,7,1.3295469746824484,1.4663713129724902
False,0.01,7,1.3263156910106577,1.4830005917107263
True,0.01,8,1.261363539524304,1.5067209298411308
False,0.01,8,1.2572847644945258,1.528942278215504
True,0.01,9,1.2119586587078348,1.6219388424402341
False,0.01,9,1.2076738214503802,1.650883498584706
True,0.01,10,1.1812573285185668,1.81554967281093
False,0.01,10,1.1776885306328924,1.8516634213075682
True,0.01,11,1.1683073458724467,2.0846956862591455
False,0.01,11,1.166213044531438,2.1282077732781226
True,0.01,12,1.1684935293158412,2.4164988925851554
False,0.01,12,1.168208199434824,2.466955334328218
True,0.01,13,1.1801488801583608,2.7966821044214254
False,0.01,13,1.181870952275703,2.8533191493163153
True,0.01,14,1.2012478548283427,3.2082491928249324
False,0.01,14,1.2049732227686691,3.2696744906271835
True,0.01,15,1.2286426963745853,3.633961977085095
False,0.01,15,1.2342187586615894,3.698936663525557
