adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.463693364731164,4.459608675041292
False,0.01,1,4.46369003148897,4.459846177598842
True,0.01,2,3.549006436835294,3.552235099820606
False,0.01,2,3.5488969648112407,3.5537383629925485
True,0.01,3,2.841126478891603,2.857901579547792
False,0.01,3,2.8401953544681575,2.865126434817241
True,0.01,4,2.2960503226921185,2.3387352589495367
False,0.01,4,2.2921965352409055,2.363974051410577
True,0.01,5,1.940844903296497,2.041409834918798
False,0.01,5,1.9307641845574484,2.0896926737345014
True,0.01,6,1.7220479861666744,1.9564998688474975
False,0.01,6,1.702584931725058,2.0220856667681644
True,0.01,7,1.5590580670616514,2.0330604355168562
False,0.01,7,1.530317480494798,2.1139355464207576
True,0.01,8,1.4151793837290834,2.2344470318760408
False,0.01,8,1.3802616771810878,2.3314870190339496
True,0.01,9,1.2829332684609946,2.528105790072042
False,0.01,9,1.2457103359778934,2.636931939155426
