alphabet_size,batch_size,hidden_dim,network_type,num_layers,num_trials,seq_length,use_gpu,mean_time,time_sd
29,1,32,lstm,1,50,1,True,0.0007318071182817221,4.053097944030396e-05
29,1,32,lstm,1,50,1,False,0.0003303949348628521,1.1560283035666989e-05
29,1,32,lstm,2,50,1,True,0.0007923901919275522,2.2700110510902112e-05
29,1,32,lstm,2,50,1,False,0.00045925061218440535,9.423222916407043e-06
29,5,32,lstm,1,50,1,True,0.0007382157817482949,2.561338799045684e-05
29,5,32,lstm,1,50,1,False,0.0003559162933379412,6.585499068461011e-06
29,5,32,lstm,2,50,1,True,0.0008058569114655256,2.4598979388546463e-05
29,5,32,lstm,2,50,1,False,0.0005098979268223047,6.933471171907644e-06
29,10,32,lstm,1,50,1,True,0.000743747167289257,2.8138600351223288e-05
29,10,32,lstm,1,50,1,False,0.0003862594533711672,1.0783005995232515e-05
29,10,32,lstm,2,50,1,True,0.0008065706491470337,2.4202839287827347e-05
29,10,32,lstm,2,50,1,False,0.0005575631279498338,6.205725563270434e-06
29,15,32,lstm,1,50,1,True,0.0007452180422842503,2.8049227743248846e-05
29,15,32,lstm,1,50,1,False,0.00041421416215598584,8.247890696804102e-06
29,15,32,lstm,2,50,1,True,0.0008096352685242891,2.197504136693714e-05
29,15,32,lstm,2,50,1,False,0.0006054490245878696,1.51282828217914e-05
29,20,32,lstm,1,50,1,True,0.0007591805513948202,2.701933179039385e-05
29,20,32,lstm,1,50,1,False,0.00043504217639565466,6.416977722347942e-06
29,20,32,lstm,2,50,1,True,0.0008293222077190875,2.5473563646231697e-05
29,20,32,lstm,2,50,1,False,0.0006448617577552796,8.449575664472005e-06
29,40,32,lstm,1,50,1,True,0.0009710955806076526,0.0005861898395347579
29,40,32,lstm,1,50,1,False,0.0006139320135116577,0.0003881605681699384
29,40,32,lstm,2,50,1,True,0.0008220028597861528,1.833038277753266e-05
29,40,32,lstm,2,50,1,False,0.0008489698730409145,6.01021611926868e-06
29,60,32,lstm,1,50,1,True,0.0008094885665923357,0.0002947230222832539
29,60,32,lstm,1,50,1,False,0.0006842312403023243,0.000266208131927927
29,60,32,lstm,2,50,1,True,0.0009741825889796018,0.0004794561519338247
29,60,32,lstm,2,50,1,False,0.0011373160872608424,0.0005611082099585649
87,1,32,lstm,1,50,1,True,0.000725568737834692,1.1394340274842415e-05
87,1,32,lstm,1,50,1,False,0.00033815978094935416,8.867176891823844e-06
87,1,32,lstm,2,50,1,True,0.0008556731697171926,0.00026693130058205234
87,1,32,lstm,2,50,1,False,0.0006803159974515438,0.0005908049534406143
87,5,32,lstm,1,50,1,True,0.001267803218215704,0.0009037268469204056
87,5,32,lstm,1,50,1,False,0.0003594656102359295,5.856643164375343e-06
87,5,32,lstm,2,50,1,True,0.0008076545502990484,2.4375538250658968e-05
87,5,32,lstm,2,50,1,False,0.0005183068476617336,9.889110667865776e-06
87,10,32,lstm,1,50,1,True,0.000751644903793931,2.507815415819286e-05
87,10,32,lstm,1,50,1,False,0.00041388721205294133,7.662605558741808e-06
87,10,32,lstm,2,50,1,True,0.0008134751208126545,2.6790852438682554e-05
87,10,32,lstm,2,50,1,False,0.000587782021611929,7.327455654563998e-06
87,15,32,lstm,1,50,1,True,0.0007614939287304878,2.828023481491266e-05
87,15,32,lstm,1,50,1,False,0.000470335753634572,8.509022368576857e-06
87,15,32,lstm,2,50,1,True,0.0008241106197237969,2.5577410289257378e-05
87,15,32,lstm,2,50,1,False,0.000660289702937007,6.581811549612442e-06
